,Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Unnamed: 14
1250,PA Desai (CAN),2010-2014,13,8,3*,2.66,0,12,3/35,40.41,0,2,0,-37.74,
1251,AB Dinda (INDIA),2010-2013,13,21,16,4.20,0,12,2/44,51.00,0,1,0,-46.79,
1252,BN French (ENG),1985-1988,13,34,9*,6.80,0,-,-,-,-,13,3,-,
1253,MN Hart (NZ),1994-2002,13,61,16,7.62,0,13,5/22,28.69,1,7,0,-21.06,
1254,DW Headley (ENG),1996-1999,13,22,10*,11.00,0,11,2/38,47.27,0,3,0,-36.27,
1255,MM Iqbal (SCOT),2009-2014,13,192,63,24.00,0,4,2/35,67.50,0,1,0,-43.49,
1256,SC Joseph (WI),2000-2005,13,161,58,16.10,0,-,-,-,-,4,0,-,
1257,CBRLS Kumara (SL),2017-2019,13,17,7*,5.66,0,13,2/26,47.92,0,3,0,-42.25,
1258,JJC Lawson (WI),2001-2005,13,18,8,6.00,0,17,4/57,29.29,0,0,0,-23.29,
1259,J Lewis (ENG),2005-2007,13,50,17,8.33,0,18,4/36,27.77,0,0,0,-19.44,
1260,TN Madondo (ZIM),1998-2001,13,191,71,15.91,0,-,-,-,-,2,0,-,
1261,VV Morea (PNG),2014-2018,13,313,65*,26.08,0,-,-,-,-,7,0,-,
1262,SJ Myburgh (NL),2011-2018,13,294,56,24.50,0,-,-,-,-,2,0,-,
1263,A Nao (PNG),2017-2019,13,90,46,45.00,0,14,3/40,35.35,0,6,0,9.64,
1264,Naved Anjum (PAK),1984-1992,13,113,30,12.55,0,8,2/27,43.00,0,0,0,-30.44,
1265,SN Netravalkar (USA),2019-2020,13,79,19*,15.80,0,19,5/32,16.68,1,6,0,-0.88,
1266,MD Patel (USA),2019-2020,13,287,82,23.91,0,-,-,-,-,4,0,-,
1267,SP Patil (UAE),2014-2015,13,263,99*,26.30,0,-,-,-,-,8,3,-,
1268,MDK Perera (SL),2007-2018,13,152,30,12.66,0,13,3/48,31.46,0,2,0,-18.79,
1269,S Ranatunga (SL),1994-1996,13,253,70,23.00,0,-,-,-,-,2,0,-,
1270,JA Richardson (AUS),2018-2020,13,92,29,18.40,0,24,4/26,28.75,0,4,0,-10.34,
1271,GR Robertson (AUS),1994-1998,13,45,15,15.00,0,8,3/29,53.75,0,3,0,-38.74,
1272,GA Rogers (SCOT),2006-2008,13,81,26,16.20,0,8,2/22,51.12,0,2,0,-34.92,
1273,Sajid Ali (PAK),1984-1997,13,130,28,10.83,0,-,-,-,-,1,0,-,
1274,Sohail Khan (PAK),2008-2016,13,25,7,5.00,0,19,5/55,31.42,1,3,0,-26.42,
1275,MC Sorensen (IRE),2013-2016,13,125,31,20.83,0,16,4/40,32.50,0,3,0,-11.66,
1276,J Theron (SA/USA),2010-2020,13,47,12,5.22,0,23,5/44,22.65,1,5,0,-17.42,
1277,JM Vince (ENG),2015-2019,13,265,51,24.09,0,-,-,-,-,4,0,-,
1278,KJ Wadsworth (NZ),1973-1976,13,258,104,28.66,1,-,-,-,-,13,2,-,
1279,AG Wharf (ENG),2004-2005,13,19,9,9.50,0,18,4/24,23.77,0,1,0,-14.27,
1280,BTJ Wheal (SCOT),2016-2019,13,16,14,4.00,0,23,3/34,22.08,0,3,0,-18.08,
1281,B Wood (ENG),1972-1982,13,314,78*,31.40,0,9,2/14,24.88,0,6,0,6.51,
1282,Ziaur Rahman (BDESH),2013-2014,13,124,41,11.27,0,10,5/30,30.10,1,5,0,-18.82,
1283,M Zondeki (Afr/SA),2002-2008,13,4,3*,4.00,0,11,2/40,45.81,0,3,0,-41.81,
1284,MR Adair (IRE),2019-2020,12,162,32,18.00,0,16,4/19,37.37,0,3,0,-19.37,
1285,RG Aga (KENYA),2004-2014,12,150,86,16.66,0,8,2/17,40.00,0,3,0,-23.33,
1286,Ahsan Malik (NL),2011-2014,12,14,10*,-,0,12,3/38,34.00,0,4,0,-,
1287,DCC Borden (BMUDA),2006-2008,12,98,24,14.00,0,15,4/30,26.13,0,2,0,-12.13,
1288,GD Campbell (AUS),1989-1990,12,6,4*,3.00,0,18,3/17,22.44,0,4,0,-19.44,
1289,RP de Groen (NZ),1993-1994,12,12,7*,2.40,0,8,2/34,59.75,0,2,0,-57.34,
1290,MH Denness (ENG),1973-1975,12,264,66,29.33,0,-,-,-,-,1,0,-,
1291,AP Devcich (NZ),2013-2016,12,195,58,17.72,0,4,2/33,72.75,0,3,0,-55.02,
1292,Ehsan Nawaz (HKG),2014-2018,12,30,11,5.00,0,16,4/47,28.62,0,2,0,-23.62,
1293,RC Fredericks (WI),1973-1977,12,311,105,25.91,1,2,2/10,5.00,0,4,0,20.91,
1294,Haroon Rasheed (PAK),1977-1982,12,166,63*,20.75,0,-,-,-,-,3,0,-,
1295,VA Holder (WI),1973-1978,12,64,30,12.80,0,19,5/50,23.89,1,6,0,-11.09,
1296,LG Howell (NZ),1998-1998,12,287,68,23.91,0,-,-,-,-,2,0,-,
1297,Ikram Alikhil (AFG),2019-2019,12,234,86,26.00,0,-,-,-,-,3,3,-,
1298,MP Jarvis (ZIM),1987-1995,12,37,17,18.50,0,9,2/37,50.11,0,1,0,-31.61,
1299,GSNFG Jayasuriya (SL),2015-2019,12,195,96,21.66,0,3,1/15,92.33,0,1,0,-70.66,
1300,MO Jones (BMUDA),2006-2007,12,113,27,11.30,0,8,2/25,60.25,0,5,0,-48.94,
1301,BD Julien (WI),1973-1977,12,86,26*,14.33,0,18,4/20,25.72,0,4,0,-11.38,
1302,AR Khurasiya (INDIA),1999-2001,12,149,57,13.54,0,-,-,-,-,3,0,-,
1303,Krishna Chandran (UAE),2014-2016,12,134,43,16.75,0,7,3/45,61.57,0,5,0,-44.82,
1304,DS Kulkarni (INDIA),2014-2016,12,27,25*,-,0,19,4/34,26.73,0,2,0,-,
1305,CB Lambert (USA/WI),1990-2004,12,407,119,33.91,1,0,-,-,0,0,0,-,
1306,N Madziva (ZIM),2014-2016,12,67,25,7.44,0,20,4/49,25.95,0,3,0,-18.50,
1307,MAWR Madurasinghe (SL),1988-1992,12,21,8*,10.50,0,5,1/11,71.60,0,3,0,-61.09,
1308,RG Petrie (NZ),1990-1991,12,65,21,13.00,0,12,2/25,37.41,0,2,0,-24.41,
1309,A Ratra (INDIA),2002-2002,12,90,30,12.85,0,-,-,-,-,11,5,-,
1310,V Shankar (INDIA),2019-2019,12,223,46,31.85,0,4,2/15,52.50,0,7,0,-20.64,
1311,CJ Smith (BMUDA),2006-2007,12,192,52,16.00,0,-,-,-,-,3,0,-,
1312,GM Strydom (ZIM),2006-2006,12,147,58,14.70,0,1,1/28,61.00,0,4,0,-46.29,
1313,ML Su'a (NZ),1992-1995,12,24,12*,4.80,0,9,4/59,40.77,0,1,0,-35.97,
1314,MR Swart (NL),2011-2014,12,197,52,19.70,0,3,1/21,102.00,0,5,0,-82.29,
1315,SR Taylor (USA),2019-2020,12,186,56,15.50,0,9,4/23,26.88,0,8,0,-11.38,
1316,MK Tiwary (INDIA),2008-2015,12,287,104*,26.09,1,5,4/61,30.00,0,4,0,-3.90,
1317,KL Tucker (BMUDA),2006-2007,12,95,34,9.50,0,-,-,-,-,9,1,-,
1318,KEA Upashantha (SL),1995-2001,12,49,15,7.00,0,12,4/37,40.08,0,2,0,-33.08,
1319,JDF Vandersay (SL),2015-2019,12,71,25,11.83,0,11,3/50,43.63,0,2,0,-31.80,
1320,B Warnapura (SL),1975-1982,12,180,77,15.00,0,8,3/42,39.50,0,5,0,-24.49,
1321,Jai P Yadav (INDIA),2002-2005,12,81,69,20.25,0,6,2/32,54.33,0,3,0,-34.08,
1322,KK Ahmed (INDIA),2018-2019,11,9,5,4.50,0,15,3/13,31.00,0,1,0,-26.49,
1323,Aqib Ilyas (OMAN),2019-2020,11,621,109*,69.00,2,16,4/36,12.62,0,4,0,56.37,
1324,JP Behrendorff (AUS),2019-2019,11,19,11*,9.50,0,16,5/44,32.31,1,3,0,-22.81,
1325,GE Bradburn (NZ),1990-2001,11,60,30,8.57,0,6,2/18,53.00,0,2,0,-44.42,
1326,RJ Bright (AUS),1974-1986,11,66,19*,16.50,0,3,1/28,116.66,0,2,0,-100.16,
1327,C Carter (HKG),2015-2018,11,114,43,12.66,0,-,-,-,-,10,2,-,
1328,BB Chari (ZIM),2015-2019,11,150,39,13.63,0,-,-,-,-,3,1,-,
1329,BE Congdon (NZ),1973-1978,11,338,101,56.33,1,7,2/17,41.00,0,0,0,15.33,
1330,ML Cummins (WI),2014-2017,11,10,5,5.00,0,9,3/82,52.66,0,1,0,-47.66,
1331,KM Curran (ZIM),1983-1987,11,287,73,26.09,0,9,3/65,44.22,0,1,0,-18.13,
1332,HT Davis (NZ),1994-1997,11,13,7*,6.50,0,11,4/35,39.63,0,2,0,-33.13,
1333,SKL de Silva (SL),1997-1997,11,161,57,53.66,0,-,-,-,-,9,6,-,
1334,TM Dowlin (WI),2009-2010,11,228,100*,25.33,1,-,-,-,-,2,0,-,
1335,J Edness (BMUDA),2007-2008,11,252,72,28.00,0,-,-,-,-,7,4,-,
1336,MV Fleming (ENG),1997-1998,11,139,33,15.44,0,17,4/45,25.52,0,1,0,-10.08,
1337,JS Foster (ENG),2001-2002,11,41,13,13.66,0,-,-,-,-,13,7,-,
1338,RS Gabriel (WI),1984-1984,11,167,41,15.18,0,-,-,-,-,1,0,-,
1339,HJW Gardiner (SCOT),2013-2015,11,262,96,23.81,0,-,-,-,-,4,0,-,
1340,RS Gavaskar (INDIA),2004-2004,11,151,54,18.87,0,1,1/56,74.00,0,5,0,-55.12,
1341,SF Graf (AUS),1980-1981,11,24,8,4.00,0,8,2/23,43.12,0,1,0,-39.12,
1342,DR Hadlee (NZ),1973-1976,11,40,20,8.00,0,20,4/34,18.20,0,2,0,-10.19,
1343,Hammad Azam (PAK),2011-2015,11,80,36,16.00,0,2,1/21,84.50,0,4,0,-68.49,
1344,BF Hastings (NZ),1973-1975,11,151,37,18.87,0,-,-,-,-,4,0,-,
1345,MC Henriques (AUS),2009-2017,11,81,18,9.00,0,7,3/32,43.71,0,4,0,-34.71,
1346,RS Higgins (ZIM),2006-2006,11,15,7*,2.50,0,13,4/21,29.23,0,5,0,-26.73,
1347,WR James (ZIM),1992-1996,11,101,29,14.42,0,-,-,-,-,6,0,-,
1348,Jatinder Singh (OMAN),2019-2020,11,182,62,16.54,0,-,-,-,-,5,0,-,
1349,Khawar Ali (OMAN),2019-2020,11,245,79*,24.50,0,12,4/23,33.41,0,7,0,-8.91,
1350,RJ Kirtley (ENG),2001-2004,11,2,1,1.0,0,9,2/33,53.44,0,5,0,-52.44,
1351,RP Lefebvre (NL),1996-2003,11,171,45,28.5,0,9,2/38,38.44,0,4,0,-9.94,
1352,RJ McCurdy (AUS),1985-1985,11,33,13*,8.25,0,12,3/19,31.25,0,1,0,-22.99,
1353,A Maregwede (ZIM),2003-2005,11,124,37,12.4,0,-,-,-,-,2,0,-,
1354,KO Meth (ZIM),2006-2012,11,106,53,13.25,0,6,2/52,69.83,0,1,0,-56.58,
1355,Mohammad Kashif (NL),2006-2010,11,1,1,0.33,0,9,3/42,45.55,0,2,0,-45.22,
1356,Mohammad Tauqir (UAE),2004-2015,11,95,55,13.57,0,9,2/38,42.55,0,5,0,-28.98,
1357,Mohammad Zahid (PAK),1996-2002,11,15,7*,7.5,0,10,2/20,39.10,0,1,0,-31.59,
1358,HJC Mol (NL),2002-2008,11,67,23,8.37,0,5,2/17,29.80,0,2,0,-21.42,
1359,Naved Latif (PAK),2001-2003,11,262,113,23.81,1,0,-,-,0,2,0,-,
1360,Nazimuddin (BDESH),2008-2012,11,147,47,13.36,0,-,-,-,-,1,0,-,
1361,Qadeer Ahmed (UAE),2015-2019,11,9,4,4.5,0,8,2/38,58.37,0,1,0,-53.87,
1362,LG Rowe (WI),1975-1980,11,136,60,17.0,0,-,-,-,-,2,0,-,
1363,Sandeep Goud (OMAN),2019-2020,11,179,67*,35.8,0,0,-,-,0,6,0,-,
1364,Shafiuddin Ahmed (BDESH),1997-2000,11,22,11,5.5,0,11,3/42,38.72,0,0,0,-33.22,
1365,A Shahzad (ENG),2010-2011,11,39,9,6.5,0,17,3/41,28.82,0,4,0,-22.32,
1366,G Sharma (INDIA),1985-1987,11,11,7,5.5,0,10,3/29,36.10,0,2,0,-30.59,
1367,CB Sole (SCOT),2016-2018,11,16,7,3.2,0,18,4/28,26.00,0,3,0,-22.79,
1368,Suraj Kumar (OMAN),2019-2020,11,181,58,30.16,0,-,-,-,-,9,0,-,
1369,SN Thakur (INDIA),2017-2020,11,77,22*,19.25,0,12,4/52,50.75,0,3,0,-31.49,
1370,RJ Trott (BMUDA),2007-2009,11,130,48*,21.66,0,16,4/46,25.75,0,4,0,-4.08,
1371,SD Udal (ENG),1994-2005,11,35,11*,11.66,0,9,2/37,44.44,0,1,0,-32.77,
1372,Usman Limbada (CAN),2010-2014,11,189,50,18.9,0,-,-,-,-,4,0,-,
1373,M van Jaarsveld (SA),2002-2004,11,124,45,20.66,0,2,1/0,9.00,0,4,0,11.66,
1374,BGK Walker (NZ),2000-2002,11,47,16*,15.66,0,8,2/43,52.12,0,5,0,-36.45,
1375,P Wilson (AUS),1997-1998,11,4,2,1.33,0,13,3/39,34.61,0,1,0,-33.28,
1376,Yasir Arafat (PAK),2000-2009,11,74,27,14.8,0,4,1/28,93.25,0,2,0,-78.44,
1377,Zeeshan Maqsood (OMAN),2019-2020,11,253,109,28.11,1,20,4/15,17.25,0,6,0,10.86,
1378,Aarif Sheikh (NEPAL),2018-2020,10,130,29,16.25,0,0,-,-,0,3,0,-,
1379,DS Airee (NEPAL),2018-2020,10,159,40,17.66,0,2,1/19,39.50,0,4,0,-21.83,
1380,MW Alleyne (ENG),1999-2000,10,151,53,21.57,0,10,3/27,28.00,0,3,0,-6.42,
1381,Asif Iqbal (PAK),1973-1979,10,330,62,55.0,0,16,4/56,23.62,0,7,0,31.37,
1382,LS Baker (WI),2008-2009,10,13,11*,6.5,0,11,3/47,32.27,0,1,0,-25.77,
1383,WD Balaji Rao (CAN),2008-2011,10,59,24,7.37,0,12,4/57,37.33,0,3,0,-29.95,
1384,GJ Batty (ENG),2002-2009,10,30,17,5.0,0,5,2/40,73.20,0,4,0,-68.19,
1385,D Bau (PNG),2016-2017,10,170,46,18.88,0,-,-,-,-,6,2,-,
1386,BS Bedi (INDIA),1974-1979,10,31,13,6.2,0,7,2/44,48.57,0,4,0,-42.37,
1387,AR Berenger (UAE),2014-2015,10,205,66,20.5,0,-,-,-,-,2,0,-,
1388,Bilal Khan (OMAN),2019-2020,10,9,8*,4.5,0,18,4/49,21.00,0,1,0,-16.49,
1389,Bilawal Bhatti (PAK),2013-2015,10,89,39,14.83,0,6,3/37,73.16,0,2,0,-58.33,
1390,KC Brathwaite (WI),2016-2017,10,278,78,27.8,0,1,1/56,140.00,0,3,0,-112.19,
1391,ST Clarke (WI),1978-1982,10,60,20,10.0,0,13,3/22,18.84,0,4,0,-8.84,
1392,Enamul Haque jnr (BDESH),2005-2009,10,12,5,3.0,0,14,3/16,30.14,0,8,0,-27.14,
1393,K Gore (USA),2019-2020,10,130,31,16.25,0,10,4/20,27.00,0,2,0,-10.74,
1394,EJ Gray (NZ),1984-1988,10,98,38,16.33,0,8,2/26,35.75,0,3,0,-19.41,
1395,SK Gupta (KENYA),1996-2001,10,121,41,13.44,0,-,-,-,-,0,0,-,
1396,HF Gurney (ENG),2014-2014,10,15,6*,7.5,0,11,4/55,39.27,0,1,0,-31.77,
1397,TE Jesty (ENG),1983-1983,10,127,52*,21.16,0,1,1/23,93.00,0,5,0,-71.83,
1398,RL Johnson (ENG),2003-2003,10,16,10,5.33,0,11,3/22,21.72,0,0,0,-16.39,
1399,Kabir Khan (PAK),1994-2000,10,10,5,10.0,0,12,2/23,25.25,0,1,0,-15.24,
1400,SKW Kelly (BMUDA),2006-2009,10,14,7*,-,0,14,3/36,26.50,0,3,0,-,
1401,P Khadka (NEPAL),2018-2020,10,315,115,35.00,1,9,4/26,27.00,0,7,0,8.00,
1402,SC Khanna (INDIA),1979-1984,10,176,56,22.00,0,-,-,-,-,4,4,-,
1403,RK Kleinveldt (SA),2013-2013,10,105,43,15.00,0,12,4/22,37.33,0,4,0,-22.33,
1404,NM Kulkarni (INDIA),1997-1998,10,11,5*,5.50,0,11,3/27,32.45,0,2,0,-26.95,
1405,RR Kulkarni (INDIA),1983-1987,10,33,15,16.50,0,10,3/42,34.50,0,2,0,-17.99,
1406,S Lamichhane (NEPAL),2018-2020,10,78,28,13.00,0,23,6/16,16.30,1,2,0,-3.30,
1407,P Lever (ENG),1971-1975,10,17,8*,17.00,0,11,4/35,23.72,0,2,0,-6.72,
1408,AS Luseno (KENYA),2003-2010,10,34,16*,17.00,0,9,4/32,35.11,0,1,0,-18.11,
1409,DE Malcolm (ENG),1990-1994,10,9,4,3.00,0,16,3/40,25.25,0,1,0,-22.24,
1410,G Malla (NEPAL),2018-2020,10,222,56,22.20,0,-,-,-,-,3,0,-,
1411,MF Malone (AUS),1977-1982,10,36,15*,9.00,0,11,2/9,28.63,0,1,0,-19.63,
1412,JAH Marshall (NZ),2005-2008,10,250,161,25.00,1,-,-,-,-,0,0,-,
1413,JJ Martin (INDIA),1999-2001,10,158,39,22.57,0,-,-,-,-,6,0,-,
1414,DES Maxwell (CAN),2006-2007,10,166,59,27.66,0,1,1/23,70.00,0,0,0,-42.33,
1415,Mohammad Nadeem (OMAN),2019-2020,10,212,69*,70.66,0,9,3/43,26.00,0,3,0,44.66,
1416,PWA Mulder (SA),2017-2019,10,74,19*,14.80,0,8,2/59,38.50,0,4,0,-23.69,
1417,DA Murray (WI),1973-1981,10,45,35,9.00,0,-,-,-,-,16,0,-,
1418,Mushtaq Mohammad (PAK),1973-1978,10,209,55,34.83,0,0,-,-,0,3,0,-,
1419,P Mustard (ENG),2007-2008,10,233,83,23.30,0,-,-,-,-,9,2,-,
1420,IE O'Brien (NZ),2008-2009,10,3,3*,-,0,14,3/68,34.85,0,1,0,-,
1421,GAHM Parkar (INDIA),1982-1984,10,165,42,18.33,0,-,-,-,-,4,0,-,
1422,MA Parker (SCOT),2010-2010,10,59,22,9.83,0,12,4/33,27.25,0,3,0,-17.41,
1423,BP Patel (INDIA),1974-1979,10,243,82,30.37,0,-,-,-,-,1,0,-,
1424,GA Paterson (ZIM),1983-1987,10,123,27,12.30,0,-,-,-,-,2,0,-,
1425,PWE Rawson (ZIM),1983-1987,10,80,24*,16.00,0,12,3/47,35.58,0,4,0,-19.58,
1426,GK Robertson (NZ),1981-1989,10,49,17,8.16,0,6,2/29,53.50,0,2,0,-45.33,
1427,RL Sanghvi (INDIA),1998-1998,10,8,8,4.00,0,10,3/29,39.90,0,4,0,-35.89,
1428,Shabir Noori (AFG),2010-2016,10,191,94,19.10,0,-,-,-,-,6,0,-,
1429,KD Shah (HKG),2014-2018,10,136,34*,15.11,0,7,4/10,11.28,0,1,0,3.82,
1430,Shahid Mahboob (PAK),1982-1984,10,119,77,23.80,0,7,1/23,54.57,0,1,0,-30.77,
1431,Shahid Saeed (PAK),1989-1993,10,141,50,14.10,0,3,2/20,53.00,0,2,0,-38.89,
1432,Shahid Wasif (HKG),2016-2018,10,81,45,11.57,0,-,-,-,-,2,0,-,
1433,Shamsur Rahman (BDESH),2013-2014,10,266,96,26.60,0,0,-,-,0,3,0,-,
1434,JN Snape (ENG),2001-2002,10,118,38,29.50,0,13,3/43,31.00,0,5,0,-1.49,
1435,TB Sole (SCOT),2018-2019,10,46,20,7.66,0,10,4/15,38.70,0,7,0,-31.03,
1436,PC Strydom (SA),2000-2000,10,48,34,9.60,0,2,1/18,103.00,0,3,0,-93.39,
1437,Tareq Aziz (BDESH),2002-2004,10,26,11*,26.00,0,13,3/19,32.61,0,4,0,-6.61,
1438,S Thuraisingam (CAN),2003-2008,10,45,13,6.42,0,13,4/35,23.46,0,4,0,-17.03,
1439,RJW Topley (ENG),2015-2016,10,7,6,7.00,0,16,4/50,25.62,0,2,0,-18.62,
1440,JJ van der Wath (SA),2006-2007,10,89,37*,14.83,0,13,2/21,42.38,0,3,0,-27.55,
1441,R Vijay Bharadwaj (INDIA),1999-2002,10,136,41*,27.20,0,16,3/34,19.18,0,4,0,8.01,
1442,HR Walsh (USA/WI),2019-2020,10,99,46*,33.00,0,12,4/36,27.58,0,2,0,5.41,
1443,Waqas Barkat (HKG),2014-2018,10,102,27,12.75,0,0,-,-,0,3,0,-,
1444,UWMBCA Welegedara (SL),2009-2010,10,4,2*,4.00,0,15,5/66,28.86,1,2,0,-24.86,
1445,RM West (IRE),2008-2009,10,61,29*,30.50,0,9,4/26,31.00,0,4,0,-0.49,
1446,GH Worker (NZ),2015-2018,10,272,58,34.00,0,0,-,-,0,5,0,-,
1447,Aamer Nazir (PAK),1993-1995,9,13,9*,13.00,0,11,3/43,31.45,0,0,0,-18.45,
1448,VR Aaron (INDIA),2011-2014,9,8,6*,8.00,0,11,3/24,38.09,0,1,0,-30.09,
1449,JS Ababu (KENYA),1999-2006,9,29,17,9.66,0,3,1/26,85.00,0,1,0,-75.33,
1450,RW Ali (KENYA),1996-1997,9,7,6*,-,0,11,3/17,23.18,0,1,0,-,
1451,Amir Hayat (UAE),2018-2019,9,31,24*,10.33,0,11,3/19,34.72,0,4,0,-24.39,
1452,MA Aponso (SL),2016-2018,9,10,4,3.33,0,10,4/18,37.70,0,0,0,-34.36,
1453,TD Astle (NZ),2017-2019,9,79,49,26.33,0,10,3/33,24.60,0,2,0,1.73,
1454,JJ Atkinson (HKG),2008-2017,9,250,59,27.77,0,-,-,-,-,10,6,-,
1455,ID Austin (ENG),1998-1999,9,34,11*,6.80,0,6,2/25,60.00,0,0,0,-53.19,
1456,A Codrington (CAN),2003-2007,9,47,16,5.87,0,10,5/27,26.50,1,0,0,-20.62,
1457,GJ Cosier (AUS),1975-1979,9,154,84,30.80,0,14,5/18,17.71,1,4,0,13.08,
1458,LHD Dilhara (SL),2005-2013,9,83,29,9.22,0,6,2/30,43.50,0,3,0,-34.27,
1459,MJ Di Venuto (AUS),1997-1997,9,241,89,26.77,0,-,-,-,-,1,0,-,
1460,H Durham (BMUDA),2006-2006,9,35,11,8.75,0,12,4/45,28.58,0,5,0,-19.83,
1461,R Edwards (AUS),1972-1975,9,255,80*,36.42,0,-,-,-,-,0,0,-,
1462,SE Findlay (WI),2008-2009,9,146,59*,20.85,0,-,-,-,-,5,0,-,
1463,PLS Gamage (SL),2014-2017,9,4,3,2.00,0,9,4/57,43.55,0,2,0,-41.55,
1464,Gholam Nousher (BDESH),1986-1990,9,8,4,8.00,0,5,1/27,62.80,0,0,0,-54.79,
1465,AFG Griffith (WI),1996-2000,9,99,47,14.14,0,-,-,-,-,5,0,-,
1466,HJ Howarth (NZ),1973-1975,9,18,11,6.00,0,11,3/29,25.45,0,3,0,-19.45,
1467,RO Hurley (WI),2003-2004,9,13,6,3.25,0,5,1/25,62.60,0,5,0,-59.34,
1468,DP Hyatt (WI),2011-2011,9,112,39,14.00,0,-,-,-,-,1,0,-,
1469,Junaid Siddiqui (CAN),2011-2014,9,67,25,13.40,0,4,1/20,75.50,0,3,0,-62.09,
1470,Kaleemullah (OMAN),2019-2020,9,2,1*,1.00,0,4,2/22,60.00,0,4,0,-58.99,
1471,Karan KC (NEPAL),2018-2020,9,43,18,6.14,0,13,4/15,24.46,0,0,0,-18.31,
1472,IA Karim (KENYA),2011-2014,9,396,112,44.00,2,-,-,-,-,8,1,-,
1473,AA Mallett (AUS),1971-1975,9,14,8,7.00,0,11,3/34,31.00,0,4,0,-23.99,
1474,A Martin (WI),2011-2011,9,10,4*,10.00,0,11,4/36,26.90,0,3,0,-16.90,
1475,JA McCollum (IRE),2019-2020,9,185,73,20.55,0,-,-,-,-,1,0,-,
1476,Mohammad Boota (UAE),2018-2019,9,191,59*,23.87,0,0,-,-,0,0,1,-,
1477,Mohammad Sharif (BDESH),2001-2007,9,53,13*,13.25,0,10,3/40,42.40,0,1,0,-29.14,
1478,EA Moseley (WI),1990-1991,9,7,2*,1.75,0,7,2/52,39.71,0,0,0,-37.96,
1479,DT Mutendera (ZIM),1999-2001,9,20,10,10.00,0,9,3/23,37.11,0,1,0,-27.11,
1480,BP Nash (WI),2008-2009,9,104,39*,26.00,0,5,3/56,44.80,0,1,0,-18.79,
1481,R Ngarava (ZIM),2017-2018,9,14,10,2.80,0,8,2/37,51.12,0,1,0,-48.32,
1482,GH O'Brien (BMUDA),2006-2008,9,38,16,5.42,0,15,3/31,27.00,0,1,0,-21.57,
1483,CAK Rajitha (SL),2018-2019,9,0,0*,0.00,0,9,2/17,42.11,0,1,0,-42.11,
1484,AN Ranasinghe (SL),1975-1982,9,153,51,21.85,0,2,1/21,140.50,0,0,0,-118.64,
1485,RB Reid (NZ),1988-1991,9,248,64,27.55,0,1,1/13,13.00,0,3,0,14.55,
1486,JB Reva (PNG),2016-2018,9,62,36,10.33,0,13,3/40,27.46,0,1,0,-17.12,
1487,SJ Rhodes (ENG),1989-1995,9,107,56,17.83,0,-,-,-,-,9,2,-,
1488,CP Rizwan (UAE),2019-2020,9,179,47,22.37,0,0,-,-,0,2,0,-,
1489,Rumman Raees (PAK),2017-2018,9,27,16,9.00,0,14,3/49,33.14,0,2,0,-24.14,
1490,WP Saha (INDIA),2010-2014,9,41,16,13.66,0,-,-,-,-,17,1,-,
1491,TG Shaw (SA),1991-1994,9,26,17*,13.00,0,9,2/19,33.11,0,2,0,-20.11,
1492,JA Snow (ENG),1971-1975,9,9,5*,4.50,0,14,4/11,16.57,0,1,0,-12.07,
1493,R Strydom (IRE),2008-2008,9,83,37,13.83,0,1,1/63,63.00,0,3,0,-49.16,
1494,Taijul Islam (BDESH),2014-2020,9,63,39*,15.75,0,12,4/11,28.08,0,1,0,-12.33,
1495,ML Udawatte (SL),2008-2008,9,257,73,28.55,0,-,-,-,-,0,0,-,
1496,A van der Merwe (IRE),2010-2011,9,15,8,3.75,0,11,5/49,29.36,1,1,0,-25.61,
1497,KJJ van Noortwijk (NL),1996-2003,9,322,134*,46.00,1,-,-,-,-,0,0,-,
1498,JNT Vare (PNG),2014-2018,9,81,28,10.12,0,-,-,-,-,6,3,-,
1499,CAK Walton (WI),2009-2017,9,53,19,6.62,0,-,-,-,-,9,1,-,
1500,AS Wassan (INDIA),1990-1991,9,33,16,8.25,0,11,3/28,25.72,0,2,0,-17.47,
1501,VJ Wells (ENG),1999-1999,9,141,39,20.14,0,8,3/30,23.62,0,7,0,-3.48,
1502,C Zhuwao (ZIM),2008-2018,9,154,45,17.11,0,0,-,-,0,1,0,-,
1503,Akshay Homraj (USA),2019-2020,8,159,44,19.87,0,-,-,-,-,12,0,-,
1504,KN Amalean (SL),1986-1988,8,15,9,7.50,0,9,4/46,23.00,0,0,0,-15.49,
1505,MKDI Amerasinghe (SL),2007-2008,8,6,5*,-,0,9,3/44,40.33,0,1,0,-,
1506,J Anderson (IRE),2014-2016,8,151,39,18.87,0,0,-,-,0,3,0,-,
1507,SJ Baard (NAM),2019-2020,8,159,73,19.87,0,-,-,-,-,2,0,-,
1508,SV Bahutule (INDIA),1997-2003,8,23,11,7.66,0,2,1/31,141.50,0,3,0,-133.83,
1509,MJ Bennett (AUS),1984-1985,8,9,6*,3.00,0,4,2/27,68.75,0,1,0,-65.74,
1510,K Birkenstock (NAM),2019-2020,8,155,61,19.37,0,1,1/5,5.00,0,1,0,14.37,
1511,KD Boyce (WI),1973-1975,8,57,34,14.25,0,13,4/50,24.07,0,0,0,-9.82,
1512,MG Burmester (ZIM),1992-1995,8,109,39,18.16,0,5,3/36,42.60,0,2,0,-24.43,
